,CityID,CityName,Country,Lat,Lng,Temperature,MaxTemp,Humidity,Cloudiness,WindSpeed
0,2155415,New Norfolk,AU,-42.78,147.06,82.96,84.99,25,100,24.16
1,5106841,Albany,US,42.6,-73.97,15.82,21.2,62,90,3.96
2,3407407,Aquiraz,BR,-3.9,-38.39,82.24,82.4,74,40,5.82
3,2015306,Tiksi,RU,71.69,128.87,-25.53,-25.53,90,76,4.32
4,3871336,Santiago,CL,-33.46,-70.65,67.95,70,59,0,9.17
5,5855927,Hilo,US,19.73,-155.09,68.56,75.2,64,90,3.36
6,3147104,Loding,NO,67.3,14.75,34.52,39.2,60,75,18.34
7,2206939,Bluff,NZ,-46.6,168.33,74.62,74.62,49,71,6.93
8,3874787,Punta Arenas,CL,-53.15,-70.92,50,50,66,40,12.75
9,5820705,Casper,US,42.87,-106.31,38.71,42.01,64,90,9.17
10,4030556,Rikitea,PF,-23.12,-134.97,78.84,78.84,78,11,12.41
11,3836669,San Rafael,AR,-34.62,-68.33,78.67,78.67,44,92,18.5
12,1015776,Bredasdorp,ZA,-34.53,20.04,66.2,66.2,88,100,10.29
13,3870243,Taltal,CL,-25.4,-70.48,60.33,60.33,93,15,1.81
14,740263,Samsun,TR,41.25,36.33,39.2,39.2,86,75,4.7
15,3372707,Ribeira Grande,PT,38.52,-28.7,54.82,54.82,73,56,13.53
16,1056899,Sambava,MG,-14.27,50.17,74.03,74.03,94,77,1.97
17,2126199,Cherskiy,RU,68.75,161.3,-20.52,-20.52,98,100,7.07
18,6167817,Torbay,CA,47.67,-52.73,8.55,10.99,71,20,5.82
19,176758,Kaputa,ZM,-8.47,29.66,66.56,66.56,95,100,4.36
20,3628473,San Cristobal,VE,7.77,-72.22,78.8,78.8,88,40,3.36
21,5110365,Broome,US,42.25,-75.83,17.6,21,72,20,4.7
22,6201424,Mataura,NZ,-46.19,168.86,77.95,77.95,49,70,3.76
23,3470583,Barreiras,BR,-12.15,-44.99,71.76,71.76,92,100,2.66
24,2075265,Busselton,AU,-33.65,115.33,69.01,69.01,61,94,10
25,964712,Plettenberg Bay,ZA,-34.05,23.37,66.24,66.24,94,100,14.34
26,3369157,Cape Town,ZA,-33.93,18.42,63.61,68,88,75,9.17
27,3115824,Muros,ES,42.78,-9.06,48.74,53.01,75,40,14.99
28,4020109,Atuona,PF,-9.8,-139.03,81.01,81.01,74,68,12.84
29,6355222,Yulara,AU,-25.24,130.99,102.2,102.2,10,0,12.75
30,1632998,Pamanukan,ID,-6.28,107.81,87.49,87.49,61,21,4.21
31,3366880,Hermanus,ZA,-34.42,19.23,64.35,66,87,92,1.01
32,3840092,Puerto Madryn,AR,-42.77,-65.04,70.61,70.61,37,0,12.93
33,3361934,Saldanha,ZA,-33.01,17.94,64.4,64.4,82,30,2.24
34,3430863,Mar del Plata,AR,-38,-57.56,66.72,68,100,90,5.82
35,4564133,Dorado,PR,18.46,-66.27,73.04,75.99,88,20,5.77
36,2426370,Oum Hadjer,TD,13.3,19.7,57.54,57.54,20,0,9.69
37,124665,Mashhad,IR,36.3,59.61,24.8,24.8,92,0,4.7
38,3382160,Cayenne,GF,4.93,-52.33,73.4,73.4,88,100,5.73
39,5767918,Pierre,US,44.37,-100.35,26.33,28,92,90,3.29
40,3893726,Constitucion,CL,-35.33,-72.42,55.81,55.81,75,0,1.5
41,2027806,Amazar,RU,53.86,120.88,-10.89,-10.89,91,10,2.35
42,3692073,Santiago de Cao,PE,-7.96,-79.24,73.4,73.4,73,20,4.7
43,1650232,Banjar,ID,-8.19,114.97,87.8,87.8,70,20,9.17
44,1501365,Kupino,RU,54.37,77.3,8.31,8.31,95,98,10.54
45,1735106,George Town,MY,5.41,100.34,88.84,89.6,52,20,3.36
46,6111862,Port Hardy,CA,50.7,-127.42,39.2,39.2,100,75,4.7
47,3578447,Sainte-Rose,GP,16.33,-61.7,71.6,71.6,88,75,3.36
48,2163355,Hobart,AU,-42.88,147.33,83.12,84.99,25,100,24.16
49,3443061,Chui,UY,-33.7,-53.46,72.41,72.41,81,100,10.2
50,1640902,Kawalu,ID,-7.38,108.21,84.2,84.2,62,26,3.83
51,5282297,Bethel,US,41.37,-73.41,18.45,27,78,1,3.13
52,778362,Oksfjord,NO,70.24,22.35,25.93,28.4,74,75,35.57
53,1106677,Bambous Virieux,MU,-20.34,57.76,77.41,78.01,100,75,4.7
54,1263761,Manglaur,IN,29.8,77.87,53.51,53.51,65,0,3.56
55,1810979,Fuling,CN,29.7,107.39,51.44,51.44,66,15,0.98
56,3833367,Ushuaia,AR,-54.8,-68.3,46.4,46.4,65,40,16.11
57,2109701,Auki,SB,-8.77,160.7,84.69,84.69,74,21,10.85
